"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000100346.18",243,254,54,36,146,123,5,54,87,106
"ENSG00000100347.15",3400,3054,7825,3197,2219,2000,3123,2127,3093,3897
"ENSG00000100348.10",6199,3936,5195,11800,4759,2905,3987,3829,4640,6981
"ENSG00000100350.15",2817,4043,6757,3635,5608,1268,585,1454,1496,854
"ENSG00000100351.17",72,128,174,80,226,169,98,285,84,262
"ENSG00000100353.18",16724,9630,16306,15245,27640,12806,8051,14766,18080,21479
"ENSG00000100354.21",2782,3665,4559,583,3974,2843,1136,2587,2571,1446
"ENSG00000100359.21",18,31,14,102,21,42,17,18,15,36
"ENSG00000100360.15",1423,1057,2141,957,77,657,330,708,713,1248
"ENSG00000100362.13",16582,13,89929,5,4,5,1,27,4,95
"ENSG00000100364.19",7549,7525,10040,21076,8606,4578,1597,4333,8708,7672
"ENSG00000100365.16",344,221,194,362,739,357,226,181,512,742
"ENSG00000100368.14",422,306,422,142,9107,637,268,445,658,464
"ENSG00000100372.15",2479,2487,5669,2682,1582,1100,572,1298,1579,1776
"ENSG00000100373.10",6,56,13,1,152,32,0,106,18,36
"ENSG00000100376.12",617,992,1326,2119,905,2426,365,1061,1142,1502
"ENSG00000100379.17",719,809,1444,1684,900,300,185,223,608,963
"ENSG00000100380.14",39641,12768,32208,13700,11909,15195,16502,15520,17414,15554
"ENSG00000100385.14",284,485,182,77,1235,454,88,667,1150,391
"ENSG00000100387.9",3549,2705,5732,6835,2992,1472,1492,1608,2537,3738
"ENSG00000100393.14",12081,9954,22766,1667,11559,7269,3205,6814,6605,2836
"ENSG00000100395.15",2197,1951,2649,3438,1469,1419,703,1536,1976,2328
"ENSG00000100399.16",223,101,80,707,252,202,59,257,332,623
"ENSG00000100401.20",17329,5923,6109,17483,17050,5643,1911,4414,6241,8824
"ENSG00000100403.12",8279,6977,7619,6367,10097,8757,4471,8058,9209,7346
"ENSG00000100410.8",1417,1288,2083,2121,2199,985,783,1015,1502,1495
"ENSG00000100412.17",6965,4301,7039,4277,3709,3591,7505,2857,3708,3559
"ENSG00000100413.17",1148,956,2220,2430,1849,1337,841,1296,2024,1825
"ENSG00000100416.15",1062,833,1486,2975,1948,711,452,759,575,1516
"ENSG00000100417.12",860,804,1382,3112,974,930,7350,685,898,1637
"ENSG00000100418.8",2704,1761,4294,2472,3347,2086,1298,1783,2253,2290
"ENSG00000100422.14",2204,1886,6245,4929,5387,2744,2026,2214,2440,2135
"ENSG00000100425.18",3464,2515,2719,2353,4030,2459,1412,2741,2776,2374
"ENSG00000100426.7",2887,2901,4566,1434,6820,1515,371,1403,1744,1022
"ENSG00000100427.16",248,54,668,1,208,9,29,25,23,37
"ENSG00000100429.18",14,23,20,206,21,27,14,18,6,39
"ENSG00000100433.16",1,0,3,1,286,10,0,3,0,6
"ENSG00000100439.10",1845,1921,1461,1609,528,2033,1105,2737,2267,2501
"ENSG00000100441.10",3285,4293,1692,2013,3516,4395,2670,3489,3641,2263
"ENSG00000100442.11",1904,3208,1752,2113,1406,1183,954,1164,1360,1521
"ENSG00000100445.17",75,186,102,238,78,174,162,153,128,203
"ENSG00000100448.4",30,7,50,91,19,220,129,40,490,800
"ENSG00000100450.13",13,47,7,54,43,63,56,97,105,146
"ENSG00000100453.13",19,37,15,13,217,45,39,45,108,84
"ENSG00000100461.18",3231,5667,3689,3924,2748,4566,1349,3811,6216,5122
"ENSG00000100462.16",978,1806,920,776,1319,1130,642,1054,1568,1142
"ENSG00000100473.18",43,9,500,1,748,31,46,18,34,45
"ENSG00000100478.15",462,487,380,223,338,565,224,516,532,794
"ENSG00000100479.13",232,475,294,596,452,97,26,105,130,148
"ENSG00000100483.14",403,400,331,434,508,428,158,335,407,412
"ENSG00000100485.12",3983,4562,3588,706,4235,3618,1777,3615,3208,2041
"ENSG00000100490.9",181,151,337,79,455,278,225,173,239,149
"ENSG00000100503.26",3973,6012,2389,1525,7214,3551,1327,2580,3064,1353
"ENSG00000100504.17",4288,9059,1052,1444,13160,4088,6663,1586,3075,4789
"ENSG00000100505.13",181,65,1800,49,105,97,26,429,137,310
"ENSG00000100519.12",3699,5499,3121,3431,3854,2425,1842,2423,3289,3109
"ENSG00000100522.10",2625,2396,1776,694,2047,956,396,703,931,470
"ENSG00000100523.16",1843,1541,1145,493,1190,757,951,755,624,409
"ENSG00000100526.20",273,725,404,663,1349,87,23,35,65,74
"ENSG00000100528.12",7265,11702,4371,3806,4312,3382,3856,2786,4783,4226
"ENSG00000100532.12",756,1327,1058,568,405,616,599,741,1090,1043
"ENSG00000100554.12",4991,4966,6301,3857,2989,2440,1669,2540,2351,3177
"ENSG00000100557.10",0,0,3,1,0,0,0,0,0,3
"ENSG00000100558.9",276,1039,201,503,620,276,1,394,233,379
"ENSG00000100564.9",761,1262,1351,520,377,736,398,681,822,786
"ENSG00000100565.15",0,1,2,1,2,18,0,6,2,3
"ENSG00000100567.13",4541,5056,2959,4462,3751,2553,1784,2322,3420,3651
"ENSG00000100568.11",2742,2340,2549,1929,2378,2188,3068,1722,2551,1796
"ENSG00000100575.14",1123,1608,944,1638,1040,776,785,858,1033,1113
"ENSG00000100577.19",1003,1995,664,1905,1217,868,1029,1186,1158,1888
"ENSG00000100578.18",1228,2172,1100,572,1859,1251,565,1172,1011,608
"ENSG00000100580.8",1785,4242,3332,1015,2760,1859,980,2174,1888,964
"ENSG00000100583.4",112,698,188,116,65,169,17,145,110,133
"ENSG00000100591.8",5896,6587,3962,6487,7746,4301,2158,3685,4862,5587
"ENSG00000100592.16",2742,9657,2642,1134,3883,3697,1291,2476,4855,2082
"ENSG00000100593.18",7,2,15,0,10,13,9,9,2,10
"ENSG00000100596.7",8966,17066,10437,4539,8632,7831,2271,5678,7410,3191
"ENSG00000100599.16",1069,1169,499,922,2350,1133,523,1065,2027,1513
"ENSG00000100600.15",7709,4861,4870,9341,9640,7110,4191,4272,10219,8359
"ENSG00000100601.10",697,1064,492,865,546,488,283,624,376,604
"ENSG00000100603.14",3329,4716,3241,3195,4001,2547,1862,2801,3791,3038
"ENSG00000100604.13",1,0,80790,8,10,6,6533,5,55,80
"ENSG00000100605.17",4423,6570,5134,13967,4849,3746,5602,2753,4185,6707
"ENSG00000100612.14",4144,6855,4411,1945,8034,1940,1923,3804,4307,4081
"ENSG00000100614.18",6489,7983,10169,2465,7821,4070,3551,4678,4026,2982
"ENSG00000100625.9",1477,3360,2654,474,3215,304,241,701,159,197
"ENSG00000100626.17",271,216,4433,421,182,1583,1022,916,3935,2350
"ENSG00000100628.12",13,37,20,15,308,75,39,71,230,135
"ENSG00000100629.17",185,688,400,157,546,309,96,324,315,158
"ENSG00000100632.11",5663,7506,5831,5092,5920,2090,1515,2786,3826,5282
"ENSG00000100644.17",12032,26161,7122,2226,16818,4721,2080,3325,5792,2601
"ENSG00000100647.8",8332,9434,5467,2373,7160,5715,1565,6423,7770,4822
"ENSG00000100650.16",7852,9790,9228,9450,4704,18099,7584,13219,23454,18178
"ENSG00000100652.5",2,1,4,2,4,8,2,4,0,2
"ENSG00000100664.11",13324,8850,13787,7114,12205,11184,10675,10714,10115,10629
"ENSG00000100665.12",1,304,0,71,3,0,0,0,0,2
"ENSG00000100678.19",11,1,35,6,2,11,42,5,10,30
"ENSG00000100697.15",5202,9210,4161,954,11415,5389,2860,4043,3794,1900
"ENSG00000100711.14",998,2336,667,1619,1892,1617,1839,1568,2138,2224
"ENSG00000100714.17",3202,6073,3901,3342,6846,3679,6502,2228,2857,1901
"ENSG00000100721.11",0,1,1,0,29,1,4,26,0,4
"ENSG00000100722.20",3583,4616,3519,1053,4759,3154,1646,2976,3521,1908
"ENSG00000100726.15",1691,2669,715,12178,1820,1491,1268,1535,1435,3216
"ENSG00000100731.16",3912,6145,6214,953,5249,5821,3472,4114,3971,2171
"ENSG00000100739.11",66,6,32,17,6,19,7,0,101,88
"ENSG00000100744.15",2937,2885,1193,876,1992,865,556,1013,1591,1151
"ENSG00000100749.8",941,1049,952,652,1498,508,331,557,744,696
"ENSG00000100764.14",1400,1250,749,823,1616,730,674,596,1138,675
"ENSG00000100767.17",416,427,330,163,614,963,213,583,1273,767
"ENSG00000100784.12",816,3170,1510,195,413,1468,333,1513,1651,1183
"ENSG00000100796.17",5825,8531,4120,2540,7721,4521,2057,4508,4730,3137
"ENSG00000100802.15",321,849,438,534,380,447,323,593,446,703
"ENSG00000100804.19",3934,7392,3526,13176,5003,3133,2843,2934,4523,6283
"ENSG00000100811.14",8119,9115,9901,4416,12796,6031,4269,6638,7220,5349
"ENSG00000100813.14",6518,14203,7068,7959,9620,9130,5222,7935,9277,7957
"ENSG00000100814.18",860,2122,963,1310,1750,1840,1749,1984,2330,3022
"ENSG00000100815.12",6119,7825,5196,980,4469,3908,1803,3584,3191,1861
"ENSG00000100823.12",5300,13848,4667,8906,7758,5917,5164,5467,7298,9796
"ENSG00000100836.10",286,923,443,447,283,521,182,370,181,498
"ENSG00000100842.13",2011,2205,62,2505,3762,2381,1159,2708,3634,4149
"ENSG00000100852.13",2545,2752,3740,56,3302,3958,1291,2900,2860,356
"ENSG00000100865.15",1503,1972,1583,2533,1007,1163,1242,1186,1252,1999
"ENSG00000100867.15",53259,1238,27,173416,2,793,6,1042,392,790
"ENSG00000100883.13",5379,7800,5013,18638,2693,2244,1196,2561,3518,2773
"ENSG00000100884.9",0,0,1,0,0,0,2,1,4,1
"ENSG00000100888.15",5606,10550,5919,2898,6886,5592,2188,5754,6147,3426
"ENSG00000100889.12",2859,3603,2528,6787,3328,2294,8287,1490,1966,2671
"ENSG00000100890.16",291,351,336,1015,231,218,58,234,239,210
"ENSG00000100897.18",3401,4025,4965,5123,3107,3327,2055,5009,5344,4917
"ENSG00000100902.11",163,285,150,1877,243,154,229,74,305,76
"ENSG00000100906.11",3829,7301,7101,24890,14614,3656,10436,4807,19925,6910
"ENSG00000100908.14",376,581,213,2513,358,238,269,280,178,657
"ENSG00000100911.16",3167,7380,2202,7121,4731,2363,1434,2990,4079,5339
"ENSG00000100916.14",515,761,331,831,437,508,360,437,605,437
"ENSG00000100918.13",44,319,53,131,225,304,77,107,123,348
"ENSG00000100926.15",205,462,188,268,181,217,77,138,243,225
"ENSG00000100934.15",6764,4838,1778,2335,4071,2652,3833,1458,3556,1543
"ENSG00000100938.18",2925,5760,3019,4105,2041,2844,1904,3686,4047,4142
"ENSG00000100941.9",4930,7653,6691,3388,8366,5500,1961,4053,4656,3730
"ENSG00000100949.14",1065,1841,1541,2489,1184,1016,583,1178,1351,2288
"ENSG00000100968.14",2486,1070,3430,1727,1038,1770,853,772,2534,2522
"ENSG00000100979.15",3304,1196,1871,2001,4861,4123,3990,2069,8459,8933
"ENSG00000100982.12",6939,2915,4589,5795,3534,2529,1783,3036,3433,4745
"ENSG00000100983.12",3534,3557,3420,46371,1727,1954,1301,2151,2936,4280
"ENSG00000100985.7",16432,394,10315,6318,17861,1476,20,611,332,114
"ENSG00000100987.15",71,1,56,100,1,8,4,12,7,12
"ENSG00000100991.12",6244,12394,9492,52541,6593,4514,4652,4109,6051,6910
"ENSG00000100994.12",6562,23431,12628,7836,11804,10477,9266,10798,15036,16361
"ENSG00000100997.20",4027,7263,9877,6522,3368,1848,1787,2278,2770,3694
"ENSG00000101000.6",319,249,327,360,413,432,978,309,1195,1025
"ENSG00000101003.10",607,1818,1985,1151,2344,169,26,143,213,138
"ENSG00000101004.15",549,1428,1008,482,1843,705,289,1050,1019,1186
"ENSG00000101017.14",580,400,358,331,817,695,1515,777,1088,1437
"ENSG00000101019.22",3179,4400,3266,6834,1507,1329,1376,1453,1694,1856
"ENSG00000101040.19",16583,10708,4731,11722,4912,2656,1233,3024,2880,1837
"ENSG00000101049.17",67,63,47,28,17,297,376,113,78,203
"ENSG00000101052.13",5918,4240,2776,1292,1607,1416,1151,1514,2131,2430
"ENSG00000101057.16",1846,2559,743,3575,10790,234,21,83,190,87
"ENSG00000101074.5",0,0,1,0,1,0,0,0,0,0
"ENSG00000101076.17",14,4,1,0,3,6,0,1,3,3
"ENSG00000101079.21",3574,3974,8798,7484,2512,2221,822,2947,3229,2476
"ENSG00000101082.14",18,43,27,883,178,68,13,112,80,109
"ENSG00000101084.18",16,35,19,339,60,17,11,5,26,19
"ENSG00000101096.20",1069,657,1813,177,1214,1551,243,953,7498,1135
"ENSG00000101098.13",324,4378,2479,149,88,27,38,41,84,171
"ENSG00000101104.13",1977,3857,1877,2204,1052,1181,54,761,363,968
"ENSG00000101109.12",5392,5128,4216,1724,4141,2118,1125,2126,1652,1272
"ENSG00000101115.13",1400,126,161,253,95,14,16,25,21,13
"ENSG00000101126.18",14695,27296,19975,5392,14025,6824,3518,7651,8390,4575
"ENSG00000101132.10",2646,1131,1454,2085,856,561,651,605,706,1007
"ENSG00000101134.12",289,94,160,69,292,138,66,191,317,203
"ENSG00000101138.12",1370,4104,2749,4486,2696,1516,773,1760,1918,1924
"ENSG00000101144.13",417,74,11271,41,486,203,116,403,835,775
"ENSG00000101146.13",1934,4115,3715,6805,2607,1150,850,1569,1560,2232
"ENSG00000101150.18",4838,10021,5935,18832,8742,5283,4498,4769,6451,7847
"ENSG00000101152.11",5080,10578,7522,12706,8913,4331,2368,4941,6266,5659
"ENSG00000101158.15",21549,7242,8757,19178,7229,3404,2217,4486,5489,5836
"ENSG00000101160.14",36903,7982,5631,32493,16454,11461,5720,9708,16344,20257
"ENSG00000101161.8",5583,10213,6667,38057,7085,6951,5239,8166,9349,12871
"ENSG00000101162.4",35,2,11,7,10,25,15,12,14,44
"ENSG00000101166.16",31069,7746,8863,13037,7295,2878,2096,2651,4036,2889
"ENSG00000101180.16",8,1,582,2,3,2,2,0,0,4
"ENSG00000101181.17",4087,2893,1535,8264,1539,1267,748,1517,1135,1674
"ENSG00000101182.15",19792,8294,6177,53001,10255,4307,10760,3111,5888,9896
"ENSG00000101187.16",388,114,19,1300,169,512,403,62,446,163
"ENSG00000101188.5",34,1,4,5,36,2,1,3,6,5
"ENSG00000101189.7",1974,1566,964,11882,1848,516,378,651,581,1103
"ENSG00000101190.13",1513,1475,1306,2168,2114,730,418,787,821,777
"ENSG00000101191.17",10230,9440,7438,9922,6895,5128,2796,5357,5508,4863
"ENSG00000101193.8",4220,8421,7415,16170,6440,3956,2106,4575,4991,5227
"ENSG00000101194.18",191,272,216,7622,435,196,19,115,138,240
"ENSG00000101197.13",44,1,4,50,15,3,7,40,8,25
"ENSG00000101198.15",8,4,0,8,49,4,0,14,1,8
"ENSG00000101199.13",3000,6633,2180,18193,4527,2796,1314,2523,2904,5815
"ENSG00000101200.5",0,0,0,0,0,0,3,1,0,3
"ENSG00000101203.16",8,5,1,1,3,4,0,0,9,2
"ENSG00000101204.18",1,152,1,0,0,0,1,1,0,3
"ENSG00000101210.13",12254,5609,7229,277789,26,180,182,359,663,2680
"ENSG00000101213.7",1380,1691,374,6176,564,401,20,468,324,575
"ENSG00000101216.11",749,2478,1552,2644,2016,1447,667,1386,1653,2072
"ENSG00000101220.18",758,2913,931,6010,2579,1320,5689,925,1491,2813
"ENSG00000101222.12",20,299,52,221,10,45,0,70,46,146
"ENSG00000101224.17",5314,5204,6457,6384,6020,1186,843,1282,1176,1727
"ENSG00000101230.6",2367,295,100,109,277,3599,670,2277,6429,2036
"ENSG00000101236.17",3121,11960,2271,810,8821,1757,727,2395,2056,1911
"ENSG00000101246.20",1082,1745,991,11792,1015,1524,1679,1531,1912,4313
"ENSG00000101247.18",606,942,963,434,522,436,347,377,372,489
"ENSG00000101251.13",3,2,1,2,6,3,1,2,2,20
"ENSG00000101255.11",5407,3233,2606,3857,1677,551,182,1432,1045,2422
"ENSG00000101265.16",2093,1041,1313,716,2486,1006,399,799,2063,826
"ENSG00000101266.19",9467,9432,14529,3215,11122,4821,3957,4593,5384,3891
"ENSG00000101276.18",616,4197,1019,1326,3169,599,46,553,1382,1195
"ENSG00000101278.6",22,35,73,18,18,13,5,27,17,41
"ENSG00000101280.8",5,2,80,4,24,155,125,27,243,50
"ENSG00000101282.9",3,164,167,6,2325,3,1,24,11,137
"ENSG00000101290.14",4377,6598,16597,2301,4277,5021,3793,5263,6336,4509
"ENSG00000101292.8",0,2,6,0,960,0,2,8,0,1
"ENSG00000101294.18",13508,13158,7930,10148,5837,4726,2992,4566,7015,8856
"ENSG00000101298.15",623,18374,1236,321,179,506,106,638,585,448
"ENSG00000101306.11",12,59,8,33,19,0,3,0,0,15
"ENSG00000101307.16",61,57,10,102,477,43,17,51,112,109
"ENSG00000101310.17",9432,11903,14775,2151,4480,3637,1010,4032,5599,3968
"ENSG00000101311.16",269,27,240,4,2715,460,25,595,779,266
"ENSG00000101323.5",0,0,0,0,3,0,0,1,0,0
"ENSG00000101327.9",1,0,2,0,0,0,0,0,2,3
"ENSG00000101331.17",75,42,119,123,60,217,320,107,297,255
"ENSG00000101333.17",2921,2767,2223,24,1274,1230,462,890,1035,496
"ENSG00000101335.10",10241,9736,3831,26012,8791,35280,12989,19037,49670,69210
"ENSG00000101336.17",825,627,880,673,2629,448,167,575,826,1108
"ENSG00000101337.16",5820,12597,10410,2149,7892,4995,2562,4773,6094,4389
"ENSG00000101342.10",10,22,16,20,29,32,11,19,32,10
"ENSG00000101343.15",5172,7568,9095,1958,3110,2266,1176,2433,2115,1911
"ENSG00000101346.14",4814,8089,7763,2096,5038,3778,2546,3494,4756,3124
"ENSG00000101347.10",4233,5569,3858,3527,13964,6319,2756,2233,9300,4004
"ENSG00000101349.17",0,2,5,1,61,165,1,360,239,137
"ENSG00000101350.8",6342,12292,18443,3437,5632,3815,1807,3657,5287,3070
"ENSG00000101353.15",73,53,325,27,82,91,220,90,153,161
"ENSG00000101361.17",5152,7730,10362,6333,10152,3774,2345,2853,4806,5087
"ENSG00000101363.12",3250,3796,3955,2946,1732,2611,1747,2659,4058,5311
"ENSG00000101365.21",4101,5823,6064,4038,3589,2748,3737,2998,3973,5438
"ENSG00000101367.9",9008,16503,15467,6139,12979,6523,2608,4349,10540,6380
"ENSG00000101384.12",3980,2203,5739,1411,1716,3522,6318,3755,3451,2674
"ENSG00000101391.21",1488,2682,2068,979,1426,1169,552,1133,1300,1589
"ENSG00000101400.6",666,1764,1610,640,1085,1341,3167,946,1174,2329
"ENSG00000101405.3",1,2,0,35,25,16,5,2,13,13
"ENSG00000101407.13",2262,4053,3473,646,3164,1493,616,1414,1335,1014
"ENSG00000101412.13",488,1249,1831,3012,2617,140,56,123,154,247
"ENSG00000101413.12",3376,4113,4074,1140,2960,2026,1253,1886,1776,1631
"ENSG00000101417.12",11464,4298,8040,1636,726,2780,634,3732,1943,2493
"ENSG00000101421.4",10409,16820,8998,11711,7743,6387,4008,6967,10030,12976
"ENSG00000101425.14",3,1,14,0,25,0,0,20,42,29
"ENSG00000101435.5",0,0,45,2,0,0,0,2,0,1
"ENSG00000101438.4",0,0,0,0,2,0,0,0,0,0
"ENSG00000101439.9",7838,8242,94643,35990,3629,9437,14014,8592,27252,37942
"ENSG00000101440.9",6,0,3,31,13,1,3,0,19,14
"ENSG00000101441.4",32,311,9,3,0,0,0,0,0,1
"ENSG00000101442.10",499,1144,867,536,730,513,271,528,606,716
"ENSG00000101443.18",231,15683,7434,47218,2174,1742,19,2445,6431,13376
"ENSG00000101444.13",5571,12539,10838,63862,14958,5015,3186,4962,6654,8286
"ENSG00000101445.10",316,201,491,104,381,1605,2003,775,1588,728
"ENSG00000101446.8",0,0,0,0,0,0,0,0,3,1
"ENSG00000101447.15",824,1534,757,532,3673,80,14,53,64,37
"ENSG00000101448.14",1,5,3,1,9,0,0,1,5,0
"ENSG00000101452.15",667,1767,951,371,803,690,620,789,704,632
"ENSG00000101457.13",3825,1944,1116,2848,2457,1154,567,1019,1695,2855
"ENSG00000101460.13",1056,327,1534,15652,132,909,785,552,882,2552
"ENSG00000101463.6",1099,415,33,379,182,9,217,42,126,76
"ENSG00000101464.11",1643,2687,2505,14224,1819,737,482,897,1164,1451
"ENSG00000101470.10",28,16,12,21,61,47,67,20,64,120
"ENSG00000101473.17",2364,1029,923,1318,540,524,308,494,602,818
"ENSG00000101474.12",14787,22231,24041,8011,6401,7773,31004,8629,8634,9878
"ENSG00000101489.20",16,28,1028,7,194,13,46,21,16,23
"ENSG00000101493.11",843,2388,232,606,2607,1244,416,1298,1369,1237
"ENSG00000101542.10",7,7,19,5,3,51,158,18,11,26
"ENSG00000101544.9",2642,3618,2341,851,2420,1855,973,1601,2030,1141
"ENSG00000101546.13",236,696,1328,949,415,562,600,675,598,1009
"ENSG00000101557.15",3973,7370,8275,2769,11561,3153,3022,2854,3750,2715
"ENSG00000101558.14",7681,10005,17475,5382,24841,7584,4501,7919,13053,9301
"ENSG00000101574.15",354,697,1446,376,2297,565,269,511,511,370
"ENSG00000101577.10",2485,3451,1989,787,3107,2207,2013,2223,2699,1529
"ENSG00000101596.16",2301,3500,6875,769,15227,3650,2184,3002,2861,1314
"ENSG00000101605.13",130,53,307,77,501,847,1263,492,606,537
"ENSG00000101608.13",7288,9541,7836,7164,26501,7532,5710,6053,12574,14340
"ENSG00000101624.11",372,496,699,205,3389,287,219,293,205,164
"ENSG00000101638.14",15,46,210,11,2,10,2,3,8,10
"ENSG00000101639.18",1616,2300,3166,563,18447,1738,842,1803,1818,910
"ENSG00000101654.18",3070,3494,5536,876,25776,2729,1170,2597,2796,1793
"ENSG00000101665.9",1655,1310,3150,1154,1560,2338,2125,1772,2939,2011
"ENSG00000101670.12",37,1495,207,4,102,404,0,130,292,357
"ENSG00000101680.15",408,175,20,167,477,737,18,1004,392,657
"ENSG00000101695.9",313,588,321,126,274,1161,4186,668,883,554
"ENSG00000101745.17",2205,3609,7510,552,10410,3438,2165,3063,2398,1335
"ENSG00000101746.15",0,4,2,0,28,20,7,8,36,13
"ENSG00000101751.10",2190,1826,5621,970,807,1921,1235,2018,1212,1246
"ENSG00000101752.12",6244,6610,11291,1273,9289,4368,2287,4156,4303,1786
"ENSG00000101773.19",1952,2209,2329,806,4640,3532,464,2887,6173,4623
"ENSG00000101782.15",4543,3345,3990,1261,5837,2881,2427,2627,3404,2525
"ENSG00000101811.14",2006,1933,1774,1196,2074,726,264,733,862,837
"ENSG00000101812.14",0,2,0,0,0,0,0,0,0,0
"ENSG00000101825.8",76057,10064,13318,6028,18921,6322,133,4118,17783,3660
"ENSG00000101842.14",56,232,121,12,120,8,1,25,9,41
"ENSG00000101843.19",4623,4817,6467,2236,3320,1340,1041,1774,2321,2014
"ENSG00000101844.18",1708,1758,1851,557,609,727,480,623,910,690
"ENSG00000101846.8",3036,1901,3210,486,963,2016,1725,2386,1724,897
"ENSG00000101849.17",3947,4365,21777,4280,2915,2488,2011,3383,3011,2496
"ENSG00000101850.13",141,463,692,313,664,90,1,161,126,237
"ENSG00000101856.10",11677,21231,9156,5422,15087,8160,8051,8894,11137,9039
"ENSG00000101868.13",1781,3089,4611,1303,2713,1104,586,1247,1316,724
"ENSG00000101871.16",539,143,205,50,1430,1377,249,1505,2185,706
"ENSG00000101882.10",1914,1506,2513,1564,1104,918,623,907,1058,1182
"ENSG00000101883.5",0,8,29,7,0,21,6,5,12,32
"ENSG00000101888.12",1860,1633,1467,790,1630,752,436,1016,973,704
"ENSG00000101890.5",1,0,1,0,1,0,0,0,0,0
"ENSG00000101892.12",1,1,1,0,1,0,0,0,0,1
"ENSG00000101898.6",0,0,0,0,0,0,0,0,0,0
"ENSG00000101901.12",2017,2346,3309,1764,1047,1438,711,1351,1578,1468
"ENSG00000101911.13",2002,7237,4261,3446,4914,1358,1305,2004,1919,1950
"ENSG00000101916.12",134,24,105,33,762,76,43,68,89,87
"ENSG00000101928.13",1265,1428,2067,667,1011,569,255,509,760,557
"ENSG00000101935.10",1244,2660,539,561,2520,574,219,480,556,361
"ENSG00000101938.15",50,12,49,167,629,11911,9515,1823,11174,3812
"ENSG00000101940.18",2854,5420,2789,7232,1870,3806,3634,3336,5399,9292
"ENSG00000101945.17",453,851,872,1586,705,349,424,392,572,682
"ENSG00000101951.17",1,0,0,0,0,0,1,0,0,1
"ENSG00000101955.15",1237,536,222,510,811,5608,6856,665,4171,4929
"ENSG00000101958.14",2,0,2,1,3,0,0,2,1,2
"ENSG00000101966.13",7762,9838,9476,2876,5093,3631,2099,3300,3701,2932
"ENSG00000101972.19",11827,11734,23532,2440,14134,7212,5157,7546,7569,3497
"ENSG00000101974.14",1157,3024,512,285,4430,1528,1153,1196,1519,781
"ENSG00000101977.21",79,4,2,0,5,5,3,3,8,3
"ENSG00000101981.12",0,0,0,0,0,0,0,0,0,0
"ENSG00000101986.12",2287,1068,644,1315,1601,1068,2452,596,770,926
"ENSG00000101997.13",1697,2174,2080,2868,907,1076,631,1152,1257,2120
"ENSG00000102001.13",198,216,1301,67,14,103,17,94,90,115
"ENSG00000102003.11",172,92,8707,284,22,126,262,103,116,264
"ENSG00000102007.11",5868,2818,7322,9551,4101,2732,843,2399,5730,6165
"ENSG00000102010.15",29,23,33,12,8,168,187,76,450,195
"ENSG00000102021.11",0,0,0,2,2,0,0,0,0,0
"ENSG00000102024.18",19191,3424,4171,2401,14106,8142,6085,6310,13505,6871
"ENSG00000102030.16",591,1414,543,3363,1144,676,607,487,628,1307
"ENSG00000102032.13",378,388,157,1073,389,382,473,208,469,739
"ENSG00000102034.17",1357,3309,2181,877,8141,1425,522,932,2287,1026
"ENSG00000102038.16",3413,1843,6777,483,7639,3396,2029,4000,5713,3268
"ENSG00000102043.16",11,91,37,15,89,37,13,44,55,32
"ENSG00000102048.16",128,37,85,28,207,66,75,57,180,98
"ENSG00000102053.12",173,43,95,19,64,148,61,179,224,155
"ENSG00000102054.18",9840,18387,17408,9216,6312,4669,2253,5532,6794,7036
"ENSG00000102055.7",0,0,0,0,0,0,0,0,0,0
"ENSG00000102057.10",157,411,276,37,370,168,99,154,214,289
"ENSG00000102076.10",0,0,0,0,0,0,0,1,0,0
"ENSG00000102078.16",696,860,953,951,488,389,139,283,502,474
"ENSG00000102081.15",4879,5514,9305,1771,9450,2235,1787,2315,2492,1902
"ENSG00000102096.9",334,688,1334,1080,1001,661,263,782,747,1388
"ENSG00000102098.19",87,181,242,2,691,154,123,142,108,71
"ENSG00000102100.16",3373,4938,3884,2713,2265,1280,524,1359,1931,2188
"ENSG00000102103.17",1921,2625,2535,4635,1699,1881,1486,2405,2939,4590
"ENSG00000102104.9",0,1,0,0,2,0,0,0,0,0
"ENSG00000102109.9",271,5,34,9,1108,12,63,40,53,373
"ENSG00000102119.11",3654,4292,5530,5134,4014,2393,2052,2510,3720,5609
"ENSG00000102125.16",765,1612,971,1796,1045,871,809,653,721,1432
"ENSG00000102128.8",0,1,0,1,1,0,0,0,5,0
"ENSG00000102144.15",157538,29178,38235,20141,38825,10340,8119,10281,17216,15213
"ENSG00000102145.15",2,3,8,17,0,0,8,1,13,12
"ENSG00000102158.20",15494,12958,14027,4486,8400,5225,1978,5393,6532,4982
"ENSG00000102172.16",9894,9944,10778,8718,6441,2681,1586,3020,4071,4510
"ENSG00000102174.9",1399,301,39,12,33,177,9,156,188,110
"ENSG00000102178.13",3124,4217,4488,8545,5154,1610,1564,2265,2426,3770
"ENSG00000102181.21",8577,3079,3072,2667,1383,3649,6664,1727,5424,4248
"ENSG00000102189.17",5571,4750,3101,620,3251,2542,1902,1912,2117,836
"ENSG00000102195.10",0,0,0,0,0,1,7,1,1,0
"ENSG00000102218.6",1539,1814,2149,234,881,876,507,927,1284,533
"ENSG00000102221.14",1983,4123,655,251,1753,1227,545,1975,790,673
"ENSG00000102225.16",6236,10465,10109,10031,6335,3835,4102,3586,5187,6208
